id,country,location,platform,check in,check out,nights,average,accommodation,total price of stay,created_at,person
1,United Arab Emirates,abu dhabi,Airbnb,28.01.2024,31.01.2024,3,17.56,heart of abu dhabi,105.35,,2
2,United Arab Emirates,dubai,booking.com,31.01.2024,03.02.2024,3,10.42,the platinum hotel,62.52,,2
3,United Arab Emirates,dubai,booking.com,03.02.2024,04.02.2024,1,12.03,ruby star hostel g p-8,24.06,,2
4,Oman,muscat,booking.com,04.02.2024,08.02.2024,4,12.88,khorsid hostel,103,,2
5,Oman,muscat,booking.com,08.02.2024,11.02.2024,3,17.29,the platinum hotel,103.72,,2
6,Sri Lanka,negombo,booking.com,11.02.2024,14.02.2024,3,4.15,rodrigo's villa & restaurant,24.89,,2
7,Sri Lanka,unawatuna,booking.com,14.02.2024,18.02.2024,4,4.62,villa ameliya,36.96,,2
8,Sri Lanka,mirissa,booking.com,18.02.2024,20.02.2024,2,3.74,ancient tree,14.96,,2
9,Sri Lanka,mirissa,booking.com,20.02.2024,22.02.2024,2,5.99,mirissa golden resort,23.94,,2
10,Sri Lanka,ella,booking.com,22.02.2024,26.02.2024,4,6.65,moonlight holiday home,53.20,,2
11,Sri Lanka,colombo,booking.com,26.02.2024,28.02.2024,2,7.47,ceylon travel and stay lodge,29.88,,2
12,Sri Lanka,delhousie,booking.com,28.02.2024,01.03.2024,2,6.15,vegetable garden,24.60,,2
13,Sri Lanka,kandy,booking.com,01.03.2024,03.03.2024,2,7.50,highest view,30.00,,2
14,Sri Lanka,anuradhapura,booking.com,03.03.2024,05.03.2024,2,3.76,meera homestay,15.04,,2
15,Sri Lanka,trincomalee,booking.com,05.03.2024,15.03.2024,10,6.58,beach life uppuveli,65.82,,2
16,Sri Lanka,anuradhapura,vipassana,05.03.2024,16.03.2024,11,5.00,vipassana,55.05,,2
17,Sri Lanka,anuradhapura,booking.com,15.03.2024,16.03.2024,1,7.52,meera homestay,7.52,,2
18,Sri Lanka,jaffna,booking.com,16.03.2024,19.03.2024,3,6.01,gnaanams hotel,36.06,,2
19,Sri Lanka,delft island,booking.com,19.03.2024,22.03.2024,3,6.40,delft village stay,38.40,,2
20,Sri Lanka,anuradhapura,booking.com,22.03.2024,23.03.2024,1,4.88,sunhill lake tourist rest,9.75,,2
21,Sri Lanka,nuwara elya,booking.com,23.03.2024,25.03.2024,2,4.99,the galways edge homestay,19.97,,2
22,Sri Lanka,ravana,workaway,25.03.2024,31.03.2024,6,0.00,ravana secret,0.00,,2
23,Sri Lanka,haphutale,booking.com,31.03.2024,03.04.2024,3,4.40,bel view,26.39,,2
24,Sri Lanka,nuwara elya,booking.com,03.04.2024,06.04.2024,3,7.11,winter villa,42.66,,2
25,Sri Lanka,colombo,Airbnb,06.04.2024,10.04.2024,4,7.63,colpetty house,61.00,,2
26,Sri Lanka,negombo,booking.com,10.04.2024,11.04.2024,1,3.80,house of esanya,7.59,,2
27,Hungary,budapest,transport,11.04.2024,12.04.2024,1,0.00,night at budapest airport,0.00,,2
28,Austria,vienna,transport,12.04.2024,13.04.2024,1,0.00,night at vienna airport,0.00,,2
29,Sweden,hargs bro,treeplanting,13.04.2024,01.06.2024,49,10.34,hargs bro,1013.32,,2
30,Sweden,backefors,workaway,01.06.2024,22.06.2024,21,0.00,thorsten,0.00,,2
31,Sweden,goteborg,booking.com,22.06.2024,24.06.2024,2,25.19,hostel goteborg,100.76,,2
32,Sweden,stockholm,booking.com,24.06.2024,25.06.2024,1,21.68,grad hotel and hostel,43.35,,2
33,Sweden,äkersjon,workaway,25.06.2024,26.07.2024,31,0.00,nick,0.00,,2
34,Sweden,bringasen,Airbnb,26.07.2024,29.07.2024,3,22.59,bringasen,135.54,,2
35,Sweden,storuman,Airbnb,29.07.2024,06.08.2024,8,23.09,suterrhagus villa,369.41,,2
36,Sweden,jokkmokk,workaway,06.08.2024,17.08.2024,11,0.00,jokkmokk,0.00,,2
37,Sweden,storuman,Airbnb,17.08.2024,19.08.2024,2,26.98,naturnara,107.92,,2
38,Sweden,wild camping,kungsleden,19.08.2024,24.08.2024,5,0.00,kungsleden trail,0.00,,2
39,Sweden,bieverholmen,"kungsleden",24.08.2024,26.08.2024,2,28.59,cabin bieverholmen,114.34,,2
40,Sweden,jackvikk,"kungsleden",26.08.2024,27.08.2024,1,36.94,hostel jackvikk,73.88,,2
41,Sweden,wild camping,"kungsleden",27.08.2024,29.08.2024,2,0.00,kungsleden trail,0.00,,2
42,Sweden,emergency hut,"kungsleden",29.08.2024,30.08.2024,1,0.00,emergency hut,0.00,,2
43,Sweden,wild camping,kungsleden,30.08.2024,06.09.2024,7,0.00,kungsleden trail,0.00,,2
44,Sweden,abisko,booking.com,06.09.2024,07.09.2024,1,44.29,abisko guesthouse & activities,88.57,,2
45,Sweden,kiruna,booking.com,07.09.2024,08.09.2024,1,30.77,kiruna accommodation timmermanasgatan 23,61.54,,2
46,Sweden,jokkmokk,Airbnb,08.09.2024,11.09.2024,3,24.85,basic cozy living in jokkmokk,149.08,,2
47,Sweden,ostersund,STF web site,11.09.2024,12.09.2024,1,25.92,ledkrysset,51.84,,2
48,Sweden,akersjon,workaway,12.09.2024,20.09.2024,8,14.50,housesitting at nick,0.00,,2
49,Sweden,ostersund,STF web site,20.09.2024,22.09.2024,2,25.92,ledkrysset,103.68,,2
50,Sweden,stockholm,booking.com,22.09.2024,25.09.2024,3,30.95,crafoord place hostel,185.71,,2
51,Sweden,tvällen,workaway,25.09.2024,13.10.2024,18,0.00,housesitting at robo,0.00,,2
52,Poland,krakow,booking.com,13.10.2024,14.10.2024,1,14.50,dizzy daisy hostel,29,,2
53,Slovakia,zlate moravce,,14.10.2024,17.10.2024,3,0.00,home sweet home,0.00,,2
54,Slovakia,donovaly,,17.10.2024,18.10.2024,1,17.25,chata spiezovec,17.25,,2
55,Slovakia,donovaly,,18.10.2024,19.10.2024,1,0,petrova chata,0,,2
56,Slovakia,bratislava,Airbnb,18.10.2024,19.10.2024,1,42.25,bratislava apartments,42.25,,2
57,Slovakia,bratislava,Airbnb,19.10.2024,20.10.2024,1,21.13,bratislava apartments,42.25,,2
58,Bulgaria,sofia istanbul,train,20.10.2024,21.10.2024,1,0.00,night train to istanbul,0.00,,2
59,Turkey,istanbul,booking.com,21.10.2024,25.10.2024,4,10.68,bonami hotel,85.44,,2
