id,date,from,to,type of transport,price,duration,created_at
2,28.01.2024,vienna,abu dhabi,flight,49.58,,
7,11.02.2024,muscat,sharjah,flight,26.00,,
8,11.02.2024,sharjah,colombo,flight,100.00,,
9,11.04.2024,colombo,abu dhabi,flight,194.51,,
10,11.04.2024,abu dhabi,budapest,flight,163.29,,
11,13.04.2024,vienna,stockholm,flight,31.37,,
33,13.10.2024,oslo,krakow,flight,80.90,,
34,20.10.2024,bratislava,sofia,flight,17.99,,
36,29.10.2024,istanbul,ulanbatar,flight,231.50,,
39,21.11.2024,ulanbatar,soul,flight,151.50,,
40,18.12.2024,soul,tokio,flight,85.98,,
41,18.03.2025,tokio,hong kong,flight,116.5,,
45,23.06.2025,ho chi minh,melbourne,flight,150,,
46,24.06.2025,melbourne,hobart,flight,37.09,,
47,30.08.2025,launceston,melbourne,flight,46,,
48,03.09.3035,melbourne,auckland,flight,179.33,,
49,19.11.2025,auckland,tahiti,flight,237.35,,
50,24.11.2025,tahiti,san francisco,flight,237.6,,
51,28.11.2025,san francisco,lisbon,flight,140,,
52,29.11.2025,lisbon,barcelona,flight,38.5,,
53,01.12.2025,barcelona,bratislava,flight,36.89,,
54,11.12.2025,krakow,oslo,flight,22.22,,
55,26.12.2025,oslo,bratislava,flight,32.22,,
